date,description,amount,category
2025-01-20,Big Bazaar Grocery,2847.65,Food
2025-01-19,Petrol Pump - HP,1245.80,Transportation
2025-01-18,Starbucks Coffee,425.50,Food
2025-01-17,Amazon India Purchase,3299.99,Shopping
2025-01-16,Electricity Bill - MSEB,4567.89,Utilities
2025-01-15,Netflix Subscription,649.00,Entertainment
2025-01-14,Ola Cab Ride,285.75,Transportation
2025-01-13,Reliance Fresh,1876.45,Food
2025-01-12,Restaurant - Barbeque Nation,2890.00,Food
2025-01-11,Cult.fit Gym Membership,1999.00,Health
2025-01-10,DMart Shopping,2456.78,Food
2025-01-09,Indian Oil Petrol,1156.40,Transportation
2025-01-08,Cafe Coffee Day,312.50,Food
2025-01-07,Flipkart Online Shopping,4567.89,Shopping
2025-01-06,Water Bill - BMC,890.25,Utilities
2025-01-05,PVR Cinema Tickets,1200.00,Entertainment
2025-01-04,Apollo Pharmacy,1234.67,Health
2025-01-03,McDonald's,567.45,Food
2025-01-02,Metro Card Recharge,500.00,Transportation
2025-01-01,New Year Party - Hotel,8750.00,Entertainment
2024-12-31,Swiggy Food Delivery,756.80,Food
2024-12-30,Uber Auto,145.50,Transportation
2024-12-29,Myntra Shopping,2999.00,Shopping
2024-12-28,Mobile Recharge - Jio,599.00,Utilities
2024-12-27,Zomato Order,892.75,Food
2024-12-26,Book My Show,650.00,Entertainment
2024-12-25,Christmas Dinner,3450.00,Food
2024-12-24,Grocery - Spencer's,1876.90,Food
2024-12-23,Auto Rickshaw,85.00,Transportation
2024-12-22,Lenskart Eyewear,4500.00,Health
2024-12-21,Gas Cylinder - Indane,950.00,Utilities
2024-12-20,Domino's Pizza,1245.00,Food
2024-12-19,Train Ticket - IRCTC,1850.00,Transportation
2024-12-18,Lifestyle Store,2750.00,Shopping
2024-12-17,DTH Recharge - Tata Sky,450.00,Entertainment
2024-12-16,Vegetable Market,456.75,Food
2024-12-15,Parking Fee,50.00,Transportation
2024-12-14,Medical Checkup,2500.00,Health
2024-12-13,Internet Bill - Airtel,1299.00,Utilities
2024-12-12,Street Food,234.50,Food
